,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.0,1.0,0.0,1.5066332,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,-1.3526859,-0.2751862,0.0
1,1.0,0.0,1.0,0.0,-0.37366074,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.5179937,-0.7890645,0.0
2,0.0,1.0,1.0,0.0,0.6073622,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.52080226,0.69602865,1.0
3,1.0,0.0,0.0,1.0,-0.9868001,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,3.0,-0.67475706,-0.85254335,0.0
4,0.0,0.0,1.0,1.0,1.629261,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.87479466,1.952976,0.0
5,1.0,0.0,1.0,0.0,0.8934939,1.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,1.3206247,1.341845,1.0
6,1.0,0.0,0.0,1.0,-0.7824203,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.45234147,-0.5454882,0.0
7,0.0,0.0,1.0,1.0,-1.1503038,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.46436533,-0.89874613,1.0
8,0.0,0.0,1.0,0.0,0.4029824,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,-1.3192904,-0.5124703,0.0
9,0.0,0.0,0.0,0.0,-0.6597924,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.26365682,-0.47418287,1.0
10,1.0,0.0,0.0,0.0,-1.2729317,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.17181917,-0.974187,0.0
11,0.0,0.0,1.0,1.0,1.1796255,1.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,2.0,0.48907652,1.138357,0.0
12,1.0,0.0,0.0,0.0,0.9752458,1.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.99167895,1.2735636,1.0
13,0.0,0.0,0.0,0.0,-1.1911799,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.18350759,-0.9031263,0.0
14,0.0,0.0,0.0,1.0,0.07597478,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.7163615,0.7498578,0.0
15,0.0,0.0,1.0,1.0,-1.1503038,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,-0.20888966,-0.90528303,0.0
16,1.0,0.0,0.0,0.0,-0.4962886,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.5079751,-0.8468958,0.0
17,1.0,0.0,0.0,0.0,-1.2729317,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,-1.4929471,-0.9963546,0.0
18,0.0,0.0,1.0,1.0,-0.08752905,1.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,1.1786939,0.34930754,1.0
19,0.0,0.0,1.0,1.0,1.5883851,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.83972937,1.8152348,0.0
20,0.0,0.0,1.0,1.0,0.6891141,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,-0.96696776,-0.21284135,0.0
21,1.0,0.0,0.0,0.0,-1.1911799,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,-1.5246729,-0.9816799,0.0
22,1.0,0.0,0.0,0.0,-0.53716457,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,0.76625925,-0.23776595,0.0
23,0.0,0.0,1.0,1.0,-0.37366074,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.35215494,-0.24801594,0.0
24,0.0,0.0,0.0,0.0,-0.8641722,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-0.6714175,-0.7952679,0.0
25,0.0,0.0,0.0,0.0,-0.9868001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-0.6780966,-0.84104824,0.0
26,0.0,1.0,0.0,0.0,0.2394786,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.2539736,-0.0044395914,1.0
27,0.0,0.0,1.0,0.0,0.116850734,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-0.26399225,-0.17766674,0.0
28,0.0,0.0,1.0,1.0,-0.046653092,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.8814738,0.326762,1.0
29,0.0,1.0,0.0,0.0,1.5066332,1.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.5193281,2.315439,0.0
30,0.0,0.0,1.0,0.0,-1.2320558,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.32209897,-0.94328135,1.0
31,1.0,0.0,1.0,1.0,0.9752458,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,-1.3560255,-0.38171056,0.0
32,1.0,0.0,0.0,0.0,-1.2729317,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-0.64136153,-0.9850151,0.0
33,0.0,0.0,1.0,1.0,1.0569977,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,-1.4845982,-0.48910207,0.0
34,1.0,0.0,0.0,0.0,0.56648624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.65304995,-0.08692871,0.0
35,0.0,0.0,1.0,1.0,1.4248813,1.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.400774,2.1117508,0.0
36,1.0,0.0,1.0,0.0,0.44385839,1.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.6510448,0.5685818,0.0
37,1.0,0.0,0.0,0.0,-0.45541266,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.58759326,-0.18133539,1.0
38,0.0,0.0,0.0,0.0,0.28035456,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,-1.47124,-0.6662202,0.0
39,1.0,0.0,0.0,0.0,0.03509882,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.52915114,0.17363462,0.0
40,1.0,0.0,0.0,0.0,1.4248813,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,-1.4779191,-0.3689481,0.0
41,1.0,0.0,0.0,0.0,-1.2320558,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.19853558,-0.94270325,1.0
42,0.0,0.0,0.0,1.0,-1.1503038,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,-1.4812586,-0.9675834,0.0
43,1.0,0.0,1.0,1.0,-0.16928096,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.9165391,0.13674799,0.0
44,1.0,0.0,0.0,1.0,-0.33278477,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,-0.9686376,-0.635826,0.0
45,0.0,0.0,0.0,0.0,0.03509882,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.864776,0.32416058,0.0
46,0.0,0.0,0.0,0.0,-0.7824203,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,-0.32076463,-0.6749138,0.0
47,0.0,0.0,0.0,0.0,-1.2729317,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.6760914,-0.96747226,1.0
48,1.0,0.0,0.0,1.0,0.2394786,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.57089555,0.3917972,0.0
49,1.0,0.0,0.0,0.0,-1.1503038,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,0.85642713,-0.8466735,0.0
