,0,1,2,3,4,5,6,7,8
0,-0.326196,0.34849024,-0.17491646,-0.20836544,0.7682763,0.051376093,-1.3728112,1.2725866,1.03
1,-0.035843376,1.6181182,-0.40283543,-0.12853017,-0.09890135,-0.117362216,-0.876696,0.7091621,3.821
2,0.14470145,-1.9527103,0.088216014,-0.2575377,-0.44981804,-0.032279685,-0.46014646,-0.4476031,1.726
3,-1.0178643,0.58654547,-0.60001534,-0.14515634,-0.0074343365,0.07750687,-1.3821719,1.2326981,0.934
4,-0.17148831,1.1420077,0.3490073,0.08662432,-0.48587716,-0.06883176,0.5320839,-0.10855122,0.965
5,1.4399189,-0.6830824,0.354757,-0.20301335,1.115675,0.023110557,0.83162516,-1.135679,2.648
6,-0.7150133,-0.048268467,-0.45652956,-0.05065191,-0.062842235,0.03414177,-0.75032705,0.8038972,1.573
7,2.1575294,0.6658972,0.25866967,-0.32836527,-0.37594086,-0.060567793,1.0609614,-1.4697448,5.00001
8,-1.250241,-1.8733585,-0.7601283,-0.18607412,-0.5342491,-0.040033247,-0.7082041,0.8387996,1.398
9,1.3369379,-1.8733585,0.542474,-0.15252993,7.036405,0.025712488,-0.7596877,0.89364624,3.156
10,0.1764202,1.8561734,0.12878762,0.12779744,-0.68024457,0.062336132,0.9720351,-1.4298563,2.319
11,-0.86672765,-0.2863237,-0.9188177,-0.05858799,0.2493769,-0.010627395,-0.7830894,0.61442703,1.594
12,-0.5281667,-1.2385446,0.44193172,0.27896428,-0.594934,-0.057166502,0.85034645,-0.06866276,0.96
13,-0.93662447,0.58654547,-1.0147758,-0.014992738,1.8773139,0.21916102,0.78950214,-1.1456511,1.875
14,-0.5609883,1.3800629,-0.2987477,-0.17623618,-0.6265957,-0.05843835,-0.6848024,0.6194131,2.299
15,-0.37498197,0.58654547,-0.15949395,-0.22318658,0.39185435,0.0470758,-0.820532,0.6742597,1.177
16,-0.5190292,1.8561734,-0.033461172,-0.11802053,-0.22642747,-0.037491474,0.48060024,-1.0309718,1.696
17,0.27598768,-0.6830824,0.19491673,-0.10356388,0.56687295,-0.016962713,1.1171254,-0.876404,1.308
18,0.18498006,0.427842,-0.18467459,-0.2969511,0.45869562,0.04877127,-0.6192778,0.5745386,1.574
19,-1.2854782,-0.6037307,-0.9958827,-0.21485303,-0.12616555,0.13255791,-0.8018107,0.6493294,0.941
20,-0.886053,0.18978676,-0.26858982,-0.09226269,-0.33196634,0.0029695043,-0.6941631,1.1180187,0.727
21,2.448092,0.50719374,0.8684146,-0.17954047,-0.08922695,-0.027063146,0.7473792,-1.1955117,5.00001
22,-0.61108714,-0.5243789,0.2541213,0.2797598,-0.3328458,-0.014646841,1.5430356,-1.7788804,0.958
23,-1.2108551,1.1420077,-0.6065828,-0.21576409,-0.28711233,0.038003225,-0.77840906,0.6493294,0.975
24,-0.8520236,-0.8417859,0.67502713,0.9417978,-1.0373178,-0.0681053,2.4557004,-1.3600515,0.788
25,0.8068042,1.8561734,0.55689245,-0.049679775,-0.6195597,-0.06369485,1.0516007,-1.3450934,2.92
26,-1.6046088,-1.0798411,-0.16136833,0.58475167,-1.1270257,0.045605533,1.7957735,-0.9910833,0.425
27,-0.1979031,1.3800629,-0.705916,-0.24150719,-0.4542155,0.044405982,-0.7316057,0.6593016,1.875
28,-0.00081621046,-0.5243789,-0.30158758,0.11329132,-0.54216456,-0.030332228,-0.86265504,0.75403666,2.182
29,-0.7313453,0.031083276,0.27925903,0.30612692,-0.35835105,0.012805035,0.1951,-0.6021709,0.875
30,-0.608724,0.26913851,-0.028752392,-0.03290674,-0.1780555,-0.03816277,-1.1809176,1.2526424,1.463
31,0.099906586,-2.1114137,0.354442,0.31364945,-0.05140886,0.0072923894,-0.5116301,0.78395295,1.374
32,-0.554424,0.8246007,-0.37881085,-0.06756446,-0.27567893,0.002542952,-0.7737287,0.58949673,2.767
33,-0.71884686,0.6658972,-0.63081324,-0.14157666,-0.50698495,0.1032931,-0.7316057,0.7590227,1.805
