0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
-0.2907312,0.06496215,0.6808133,-1.2755113,0.016966194,0.05226676,0.74754655,-0.4846565,0.9868582,-1.3668543,0.9328476,-1.7266712,1.766011,-0.1901106,0.78545964,0.44107133,0.1617599,-0.23960266,1.6450546,-0.51564527,-0.49026883,0.48959062,-0.80353475,1.9658802,0.14875597,-1.250715,-2.240022,1.4793146,-0.6521726,0.34341246,1.0788691,0.9792758,1.5883402,0.46769106,-2.4577005,-0.5544483,-0.31623927,1.2004948,0.62000364,0.99521965,-0.3139994,0.08714035,-0.5498439,0.40236923,-0.092995085,0.71985596,-2.3078206,0.040748537,-0.6578525,0.83110845
0.10983387,-1.3263507,-0.21870951,0.358905,-0.341709,-0.8261091,0.21931273,0.5922431,0.9921114,-1.0649381,0.58399343,0.8598536,1.3471613,-0.2335647,-0.87449294,-1.4355497,-0.3690725,-1.7036997,1.4826903,0.065015614,-0.56242776,0.31305164,-1.8724456,-1.7845109,-0.21895647,-0.58524454,-0.59498906,1.9797869,0.99554795,0.6088652,0.24690089,0.60639894,1.4465636,0.28483403,-0.014651835,0.75996363,-0.5261263,0.0662626,-0.531122,1.22313,-1.447961,-0.7034757,-0.12254846,0.35245115,0.25922003,0.49983627,0.8477359,0.2724605,-0.07225889,0.09938204
-0.60027725,-1.5973606,0.699026,-0.8056018,0.32250878,-0.7111037,1.0303355,-0.30318198,0.9723515,-0.46665537,0.24643031,1.7324281,0.90114146,-0.13370368,-1.0484828,-0.58759236,-0.39863837,-0.1378837,1.9930233,0.6872204,0.86613077,0.23353082,-0.5638161,-1.7676644,-0.21043515,0.27370057,0.49257556,1.0477995,-0.4426992,1.0782714,1.0100666,0.60639894,1.2419188,0.09799349,-1.5602779,0.058019847,-0.29541254,0.3986417,0.7246354,0.87074643,-0.69050884,-0.6318436,-1.7759844,-0.28993344,0.4073184,-0.5071126,-0.62174475,0.27235004,-0.29640472,0.6845311
0.5106925,-1.4125595,-1.9054369,0.8986886,0.028726429,0.25179005,0.37793827,0.7417232,1.061147,-0.1529521,0.32548827,1.4044458,2.518794,1.9746704,1.3484529,0.7472261,0.1860321,0.59438217,0.8187399,0.60686344,0.8070756,-0.5875644,-1.8526907,-0.021426916,-0.20163524,-0.45028824,-3.4388547,2.3047972,-0.44095168,-0.008396745,-0.8218472,0.45476344,3.4172153,0.5560993,0.031200528,1.5785359,-0.22065651,0.2361455,-0.7847261,-0.8616595,-2.5026522,-0.81490135,0.19140968,-0.5214087,0.23497975,0.67044127,0.9427986,0.27278376,2.988065,-0.21766725
-0.57636666,-1.9425004,-0.2182369,0.73951465,-0.17212516,-0.7905277,0.45540512,-0.77890646,0.048662648,-0.010914847,1.1814783,-0.56134176,1.9758712,-0.13387042,-0.42296657,-1.4987342,-0.6381893,0.16621368,2.6080315,0.957176,0.8461356,0.14878719,-0.713272,0.3520574,0.23277783,0.096488416,-0.3236852,0.8114774,0.96423215,0.020169437,0.5539241,0.26293123,0.11441815,0.43971574,0.1754005,-0.48073533,1.0840719,2.5015135,0.26241025,1.1044929,-0.15926743,0.7834783,-2.0201955,-0.09925425,0.1814239,-2.0991745,0.6471294,-0.20934409,-0.0064279437,0.17190665
0.27004576,0.38087893,0.6285733,1.132717,-0.30915865,0.09783419,0.7661176,0.5577955,-0.15010153,0.07197074,1.0143439,-0.24995038,1.8052225,0.14565141,-0.36666304,-0.225104,-0.019156128,-0.29736492,1.4761318,0.43910438,-0.7045857,0.19122356,-1.7094152,-1.7966502,-0.035016716,-2.1573164,0.54666674,1.8404648,1.6423287,0.15120289,0.15378967,0.26205987,-0.09952223,0.54138374,0.7538365,-0.4988226,-0.13197672,0.35146832,-0.69061863,1.2451336,0.43540403,0.5101497,1.9370534,-0.33465576,-1.5930443,0.5138742,0.8249881,0.24702367,-0.13007993,-0.15414286
-0.6027483,-1.1409342,-1.4593464,-0.84501714,0.05231911,-0.7202089,-0.6314797,-1.3842156,-0.24547037,0.5836428,0.9069983,1.9816556,2.9471676,-0.066523045,-1.1600165,-1.5673964,0.19743258,-0.28706142,1.0258995,0.432478,-0.35626948,-0.20536193,-0.8038252,-1.7692218,-0.20813453,-0.088563696,-0.2779152,1.9520724,0.9323068,-0.3770514,-0.564006,0.36329323,1.1659093,0.433411,1.0950111,-0.05097854,-0.100525446,0.978639,0.73076683,-1.2057176,0.19810808,0.6552224,0.02978772,-0.42094517,0.2557673,0.12181121,-0.28679404,-0.12447074,-0.6422946,0.85127985
-0.3714891,-1.0688858,0.53556263,-0.68543595,-0.48566732,0.30809194,0.7799989,-0.57017386,0.38203847,-1.0192595,1.3300325,-1.8538659,2.1556082,-0.9095335,-0.5674933,-2.002507,-0.108361825,0.27790013,2.4110596,0.7222685,0.86675423,-0.57509977,-0.5220694,-1.6143081,0.13855475,0.13803679,0.5811982,1.395819,1.422157,0.2382102,1.6340544,0.40715513,0.19865191,-0.21425205,-1.2865317,-0.45594922,0.14333734,1.6867297,0.6992695,1.2696574,0.9042598,-0.35524654,-1.4343939,-0.3084656,0.1937576,-1.2723924,-0.2527109,0.0070024393,0.45630074,0.8708049
-0.35768718,-1.9947264,-0.2748825,-0.611828,0.17815901,0.24549231,1.2492564,0.59617674,-0.30167776,1.2812071,2.0560207,0.034395784,2.7118726,0.44651324,0.34456772,-0.7613261,-0.5589607,0.48910868,2.0785413,-0.2552876,0.61492366,-0.15927783,-0.8931483,-0.6408263,0.07635695,0.23290709,0.5760008,1.4016578,1.6656137,-0.3669626,-1.0552337,0.23465031,0.378003,0.5492276,1.4125994,-0.45594922,2.5742145,1.3208895,-0.5957459,-0.8773935,0.5244095,-0.8112776,-0.16608176,-0.53205824,0.17781124,-0.49432623,0.7851324,0.02534032,-0.5631291,0.80720365
-0.57217723,-1.1890048,0.7159008,-1.1601789,0.21753374,0.062267125,-0.19884941,-0.10032123,0.19603711,-0.79022753,1.0004356,-2.3747015,2.6244419,-0.24522582,0.08134295,-0.7805958,0.1617599,-0.12742525,1.9719243,0.46774405,-0.13952696,0.8710323,-0.2114748,0.67224544,0.07832962,0.05511716,-0.71922076,1.5354358,0.2024731,-3.6031008e-05,1.6340544,0.61585486,1.8381373,0.19988024,-2.2982235,0.4711137,-0.21144667,1.179872,0.68165267,-0.116010785,1.1400094,0.7763451,0.030057043,0.4342581,-0.3620366,-0.14667022,-0.15725435,-0.56542957,0.42663798,0.705976
